"rank_order","rank","name","scores_overall","scores_overall_rank","scores_teaching","scores_teaching_rank","scores_research","scores_research_rank","scores_citations","scores_citations_rank","scores_industry_income","scores_industry_income_rank","scores_international_outlook","scores_international_outlook_rank","record_type","member_level","url","nid","location","stats_number_students","stats_student_staff_ratio","stats_pc_intl_students","stats_female_male_ratio","aliases","subjects_offered","closed","unaccredited","disabled","apply_link","cta_button.link","cta_button.text","location_standardized"
14220,1350,"University of Burgos",27.9,14220,21.4,1376,15.9,1137,42.8,1284,33.3,1235,38,1301,"master_account",0,"/world-university-rankings/university-burgos",633072,"Spain",8080,13.8,"5%","55 : 45","University of Burgos","Law,Physics & Astronomy,Communication & Media Studies,Civil Engineering,Mechanical & Aerospace Engineering,Accounting & Finance,Biological Sciences,Psychology,Sport Science,Politics & International Studies (incl Development Studies),Chemical Engineering,Business & Management,Education,Archaeology,General Engineering,Medicine & Dentistry,Other Health,Art, Performing Arts & Design,Chemistry,Computer Science,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Economics & Econometrics,Veterinary Science,Geography,Electrical & Electronic Engineering,History, Philosophy & Theology,Architecture,Sociology,Agriculture & Forestry,Languages, Literature & Linguistics",FALSE,FALSE,FALSE,NA,NA,NA,"spain"
14230,1350,"University of Cadiz",27.9,14230,21,1412,20.1,882,42.6,1293,30.9,1299,44.9,1063,"master_account",0,"/world-university-rankings/university-cadiz",633042,"Spain",18592,17.4,"11%","61 : 39","University of Cadiz","Computer Science,Languages, Literature & Linguistics,Civil Engineering,Law,History, Philosophy & Theology,Chemical Engineering,Education,Archaeology,Biological Sciences,Psychology,General Engineering,Chemistry,Other Health,Mathematics & Statistics,Economics & Econometrics,Medicine & Dentistry,Agriculture & Forestry,Business & Management,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Sport Science,Accounting & Finance",FALSE,FALSE,FALSE,NA,NA,NA,"spain"
14240,1350,"University of Chemistry and Technology, Prague",27.9,14240,36.7,420,15.1,1212,27.2,1668,54.3,798,54.6,743,"master_account",0,"/world-university-rankings/university-chemistry-and-technology-prague",131697,"Czech Republic",4505,9.5,"29%","57 : 43","University of Chemistry and Technology, Prague","Chemistry,Education,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Economics & Econometrics,Physics & Astronomy,Biological Sciences,Other Health,Business & Management,Computer Science",FALSE,FALSE,FALSE,NA,NA,NA,"czech republic"
14250,1350,"University of Chittagong",27.9,14250,15.6,1858,9.3,1917,50,1101,21.8,1630,54.5,748,"master_account",0,"/world-university-rankings/university-chittagong",719221,"Bangladesh",29339,25,"0%","39 : 61","University of Chittagong","History, Philosophy & Theology,Agriculture & Forestry,Medicine & Dentistry,Psychology,Business & Management,General Engineering,Sociology,Mathematics & Statistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Sport Science,Education,Geology, Environmental, Earth & Marine Sciences,Law,Economics & Econometrics,Computer Science,Accounting & Finance,Chemistry,Communication & Media Studies,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Art, Performing Arts & Design,Geography,Biological Sciences",FALSE,FALSE,FALSE,NA,NA,NA,"bangladesh"
14260,1350,"University of Concepción",27.9,14260,18.2,1679,17,1061,38.5,1380,48,911,51.3,825,"master_account",0,"/world-university-rankings/university-concepcion",584712,"Chile",30363,17.9,"2%","52 : 48","University of Concepción","Other Health,Chemistry,Business & Management,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Civil Engineering,Communication & Media Studies,Medicine & Dentistry,Veterinary Science,Sociology,History, Philosophy & Theology,Chemical Engineering,Psychology,Archaeology,Geography,Agriculture & Forestry,General Engineering,Mathematics & Statistics,Economics & Econometrics,Architecture,Biological Sciences,Law,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Physics & Astronomy,Politics & International Studies (incl Development Studies),Accounting & Finance,Computer Science,Sport Science,Education",FALSE,FALSE,FALSE,NA,NA,NA,"chile"
14270,1350,"University of Duhok",27.9,14270,22.5,1284,8.2,2046,60.4,839,15.9,2087,30.7,1638,"master_account",0,"/world-university-rankings/university-duhok",701734,"Iraq",22768,10.7,"1%","57 : 43","University of Duhok","Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Law,General Engineering,Agriculture & Forestry,Geography,Biological Sciences,Physics & Astronomy,Sociology,Electrical & Electronic Engineering,Economics & Econometrics,Medicine & Dentistry,Accounting & Finance,Veterinary Science,History, Philosophy & Theology,Education,Sport Science,Mathematics & Statistics,Civil Engineering,Archaeology,Computer Science,Psychology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Chemistry,Other Health,Geology, Environmental, Earth & Marine Sciences,Business & Management",FALSE,FALSE,FALSE,NA,NA,NA,"iraq"
14280,1350,"University of Engineering & Technology (UET) Lahore",27.9,14280,19.5,1544,9.6,1875,54.6,989,27.7,1392,50.5,851,"master_account",0,"/world-university-rankings/university-engineering-technology-uet-lahore",623421,"Pakistan",12720,12.5,"2%","29 : 71","University of Engineering & Technology (UET) Lahore","Chemical Engineering,Mechanical & Aerospace Engineering,Physics & Astronomy,Chemistry,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Accounting & Finance,Civil Engineering,General Engineering,Mathematics & Statistics,Computer Science,Business & Management,Architecture",FALSE,FALSE,FALSE,NA,NA,NA,"pakistan"
14290,1350,"University of Évora",27.9,14290,21.9,1337,18.9,943,34.4,1472,23.7,1533,53.8,763,"master_account",0,"/world-university-rankings/university-evora",638552,"Portugal",7991,13.7,"15%","58 : 42","University of Évora","Archaeology,Physics & Astronomy,Education,Art, Performing Arts & Design,Veterinary Science,Accounting & Finance,Agriculture & Forestry,General Engineering,Politics & International Studies (incl Development Studies),Geography,Biological Sciences,Economics & Econometrics,History, Philosophy & Theology,Civil Engineering,Sociology,Other Health,Mathematics & Statistics,Communication & Media Studies,Sport Science,Languages, Literature & Linguistics,Chemistry,Psychology,Mechanical & Aerospace Engineering,Architecture,Computer Science,Geology, Environmental, Earth & Marine Sciences,Business & Management",FALSE,FALSE,FALSE,NA,NA,NA,"portugal"
14300,1350,"University of Franche-Comté",27.9,14300,20.5,1451,15.8,1143,40.2,1343,49.9,869,71.1,419,"master_account",0,"/world-university-rankings/university-franche-comte",631998,"France",24095,31,"13%","59 : 41","University of Franche-Comté","Communication & Media Studies,Law,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Accounting & Finance,General Engineering,Sport Science,Medicine & Dentistry,Other Health,Agriculture & Forestry,Chemistry,Psychology,Education,History, Philosophy & Theology,Computer Science,Biological Sciences,Mathematics & Statistics,Business & Management,Economics & Econometrics,Electrical & Electronic Engineering,Chemical Engineering,Sociology,Art, Performing Arts & Design,Archaeology,Civil Engineering,Geography,Physics & Astronomy",FALSE,FALSE,FALSE,NA,NA,NA,"france"
14310,1350,"University of Gdańsk",27.9,14310,24.8,1093,15.4,1179,33.2,1496,26,1446,36.5,1385,"master_account",0,"/world-university-rankings/university-gdansk",626013,"Poland",18016,11.6,"3%","67 : 33","University of Gdańsk","Communication & Media Studies,Psychology,Sociology,History, Philosophy & Theology,Mathematics & Statistics,Computer Science,Accounting & Finance,Politics & International Studies (incl Development Studies),Chemistry,Geography,Archaeology,Economics & Econometrics,Business & Management,Law,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Languages, Literature & Linguistics,Education",FALSE,FALSE,FALSE,NA,NA,NA,"poland"
14320,1350,"University of Guilan",27.9,14320,23.8,1174,17.6,1013,45.9,1210,33.3,1236,25.1,1869,"master_account",0,"/world-university-rankings/university-guilan",624732,"Iran",18681,33.7,"1%","58 : 42","University of Guilan","Electrical & Electronic Engineering,Art, Performing Arts & Design,Architecture,Education,Languages, Literature & Linguistics,Physics & Astronomy,Agriculture & Forestry,Civil Engineering,Geography,Chemistry,Economics & Econometrics,Chemical Engineering,Mechanical & Aerospace Engineering,Biological Sciences,Law,History, Philosophy & Theology,Computer Science,General Engineering,Sport Science,Geology, Environmental, Earth & Marine Sciences,Psychology,Business & Management,Sociology,Mathematics & Statistics,Accounting & Finance,Politics & International Studies (incl Development Studies)",FALSE,FALSE,FALSE,NA,NA,NA,"iran"
14330,1350,"University of Health Sciences, Turkey",27.9,14330,46.1,191,6.1,2085,25.6,1710,16.9,2009,30.8,1636,"master_account",0,"/world-university-rankings/university-health-sciences-turkey",715195,"Turkey",24687,7.5,"13%","33 : 67","University of Health Sciences, Turkey","Civil Engineering,Medicine & Dentistry,Chemistry,Mathematics & Statistics,Archaeology,Art, Performing Arts & Design,Other Health,Economics & Econometrics,Geography,Accounting & Finance,Languages, Literature & Linguistics,Sociology,Veterinary Science,Agriculture & Forestry,Business & Management,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Architecture,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Communication & Media Studies,Biological Sciences,Computer Science,Law,Politics & International Studies (incl Development Studies),Chemical Engineering,Sport Science,Education,Physics & Astronomy,Psychology,General Engineering",FALSE,FALSE,FALSE,NA,NA,NA,"turkey"
14340,1350,"University of Ilorin",27.9,14340,15.9,1838,9.3,1919,48.7,1131,17.4,1969,40.2,1213,"master_account",0,"/world-university-rankings/university-ilorin",705869,"Nigeria",48837,36.3,"0%","48 : 52","University of Ilorin","Electrical & Electronic Engineering,Chemistry,Mathematics & Statistics,Civil Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Physics & Astronomy,Computer Science,Law,Medicine & Dentistry,Economics & Econometrics,Mechanical & Aerospace Engineering,Communication & Media Studies,Sport Science,Architecture,Education,Business & Management,Art, Performing Arts & Design,Sociology,Agriculture & Forestry,Geography,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Accounting & Finance,Veterinary Science,Psychology,Biological Sciences",FALSE,FALSE,FALSE,NA,NA,NA,"nigeria"
